王威傑|2020-01-02 15:00:00.000|片商活動|我們是XXX公關公司，我們想租貴影院的B廳來舉辦即將上映國片的試片及演員見面會|50000|high1234@gmail.com|0928860684|2020-01-02 00:00:00.000|5|2020-01-02 10:00:00.000|B|1|1|1
許雅菁|2020-01-15 16:00:00.000|企業包場|我們是雅菁公司，我們想租貴影院的B廳來舉辦公司內部的電影欣賞活動|60000|kathy1111@gmail.com|0911661335|2020-01-15 00:00:00.000|6|2020-01-15 10:00:00.000|B|1|3|1
顏七六|2020-01-24 20:00:00.000|求婚|您好，我想租貴影院的影廳來向我女友求婚，並邀請一些至親好友到場協助|30000|jack0416@gmail.com|0911661335|2020-01-24 00:00:00.000|3|2020-01-24 17:00:00.000|A|1|4|1
范家宏|2020-01-30 15:00:00.000|企業包場|電影欣賞會|240000|s29296848@gmail.com|0928860684|2020-01-30 00:00:00.000|3|2020-01-30 12:00:00.000|C|1|1|1
王威傑|2020-02-02 19:00:00.000|企業包場|福委會想包場|120000|p29296848@gmail.com|0928860684|2020-02-02 00:00:00.000|3|2020-02-02 16:00:00.000|E|1|2|1
王嚕嚕|2020-02-07 19:00:00.000|求婚|我想包場求婚|120000|p29297777@gmail.com|0928777777|2020-02-07 00:00:00.000|3|2020-02-07 16:00:00.000|F|1|2|1
王凱蒂|2020-02-13 20:00:00.000|其他|我們想租貴影廳來拍戲|120000|A29297777@gmail.com|0928777888|2020-02-13 00:00:00.000|3|2020-02-13 17:00:00.000|G|1|2|1
王軍軍|2020-02-05 19:00:00.000|片商活動|敝公司想舉辦電影首映會|120000|p29296666@gmail.com|0928666666|2020-02-05 00:00:00.000|3|2020-02-05 16:00:00.000|G|1|2|1
茗貞歎|2020-02-16 19:00:00.000|片商活動|XXX公司想舉辦演員見面會|120000|p29298888@gmail.com|0928888888|2020-02-16 00:00:00.000|3|2020-02-16 16:00:00.000|E|1|2|1
素環真|2020-02-17 19:00:00.000|企業包場|XXX公司福委會想包場|120000|p29299999@gmail.com|0928999999|2020-02-17 00:00:00.000|3|2020-02-17 16:00:00.000|E|1|2|1
崗帖仁|2020-02-18 19:00:00.000|企業包場|OOO公司福委會想包場舉辦電影欣賞會|120000|p29299999@gmail.com|0928999999|2020-02-18 00:00:00.000|3|2020-02-18 16:00:00.000|G|1|2|1
溫努比|2020-02-19 19:00:00.000|求婚|我想租貴影院的影廳舉辦求婚活動|120000|p29299999@gmail.com|0928999999|2020-02-19 00:00:00.000|3|2020-02-18 16:00:00.000|G|1|2|1
